Katakana,Romaji,Meaning
アメリカ,Amerika,America
コーヒー,kōhī,coffee
スポーツ,supōtsu,sports
テレビ,terebi,TV
パン,pan,bread
インターネット,intānetto,internet
メール,mēru,email
グラス,gurasu,glass
ビール,bīru,beer
チーズ,chīzu,cheese
スーパー,sūpā,supermarket
ピザ,piza,pizza
ケーキ,kēki,cake
チョコレート,chokorēto,chocolate
スマホ,sumaho,smartphone
カレー,karē,curry
ハンバーガー,hanbāgā,hamburger
キャンプ,kyanpu,camping
プール,pūru,pool
フライドポテト,furaido poteto,french fries
ドラマ,dorama,drama
サンドイッチ,sandoicchi,sandwich
サラダ,sarada,salad
デパート,depāto,department store
レストラン,resutoran,restaurant
シャンプー,shanpū,shampoo
バス,basu,bus
ホテル,hoteru,hotel
バナナ,banana,banana
タクシー,takushī,taxi
パーティー,pātī,party
インスタントラーメン,insutanto rāmen,instant noodles
マイカー,maikā,private car
ガム,gamu,gum
サッカー,sakkā,soccer
ダイエット,daietto,diet
ペン,pen,pen
ガス,gasu,gas
ストレス,sutoresu,stress
ショッピング,shoppingu,shopping
レモン,remon,lemon
オフィス,ofisu,office
ジュース,jūsu,juice
タバコ,tabako,tobacco
メガネ,megane,glasses
ジャケット,jaketto,jacket
パスポート,pasupōto,passport
カメラ,kamera,camera
スニーカー,sunīkā,sneakers
キャッシュカード,kyasshu kādo,cash card
ビジネス,bijinesu,business
セーター,seetaa,sweater
タイヤ,taiya,tire
クッキー,kukkii,cookie
ドライブ,doraibu,drive
メモ,memo,memo
オムレツ,omuretsu,omelet
プラネタリウム,puranetariumu,planetarium
パンツ,pantsu,pants
バター,bataa,butter
カプセル,kapuseru,capsule
フルーツ,furuutsu,fruit
カンニング,kanningu,cheating
レシート,reshiito,receipt
ポケット,poketto,pocket
シャワー,shawaa,shower
ショートケーキ,shootokeeki,shortcake
メガネケース,meganekeesu,glasses case
バイト,baito,part-time job
ブラシ,burashi,brush
ソフトウェア,sofutowea,software
タイムリミット,taimurimitto,time limit
ファイル,fairu,file
ボタン,botan,button
リュックサック,ryukkusakku,backpack
バイク,baiku,motorcycle
グローブ,guroobu,gloves
サングラス,sangurasu,sunglasses
ペットボトル,pettobotoru,plastic bottle
ファストフード,fasutofuudo,fast food
セロテープ,seroteepu,scotch tape
シートベルト,shiitoberuto,seat belt
ソファー,sofaa,sofa
テニス,tenisu,tennis
バレーボール,bareebooru,volleyball
マフラー,mafuraa,scarf
レバー,rebaa,lever
クレジットカード,kurejitto kaado,credit card
ディスカウントストア,disukaunto sutoa,discount store
ドレス,doresu,dress
ファッション,fasshon,fashion
バッグ,baggu,bag
ホームステイ,homusutei,homestay
ラジオ,rajio,radio
リモコン,rimokon,remote control
サービス,saabisu,service
ジャンプ,janpu,jump
タオル,taoru,towel
ティッシュ,tisshu,tissue
デザート,dezaato,dessert
ハンカチ,hankachi,handkerchief
ファン,fan,fan
プログラム,puroguramu,program
プロジェクター,purojekutaa,projector
ボールペン,boorupen,ballpoint pen
ラップトップ,raptoppu,laptop
リンゴ,ringo,apple
ロゴ,rogo,logo
アニメ,anime,anime
エレベーター,erebeetaa,elevator
キッチン,kicchin,kitchen
クリーニング,kuriiningu,dry cleaning
ショー,shoo,show
ストック,sutokku,stock
チャンネル,channeru,channel
デート,deeto,date
バイタル,baitaru,vital
フロント,furonto,front
ベルト,beruto,belt
マッサージ,massaji,massage
メンバー,menbaa,member
ユニット,yunitto,unit
ライブ,raibu,live
レビュー,rebyuu,review
ロープ,roopu,rope
ウイスキー,uisukii,whiskey
カーテン,kaaten,curtain
キャップ,kyappu,cap
グリル,guriru,grill
コンピューター,konpyuutaa,computer
シューズ,shuuzu,shoes
スキー,sukii,ski
スタンド,sutando,stand
ダンス,dansu,dance
チャージ,chaaji,charge
テスト,tesuto,test
フレーム,fureemu,frame
ペーパー,peepaa,paper
ホース,hoosu,hose
メモリー,memorii,memory
リサイクル,risaikuru,recycling
ワイン,wain,wine
アルコール,arukooru,alcohol
オートバイ,ootobai,motorbike
クリーム,kuriimu,cream
コピー,kopii,copy
スーパーマーケット,suupaa maaketto,supermarket
プラスチック,purasuchikku,plastic
プラン,puran,plan
ブログ,burogu,blog
マーケティング,maaketingu,marketing
ミュージック,myuujikku,music
レクリエーション,Rekurieshon,recreation
レポート,Repōto,report
ロボット,Robotto,robot
アイデア,Aidea,idea
アルバイト,Arubaito,part-time job
ウォーター,Wōtā,water
カレンダー,Karendā,calendar
クリスマス,Kurisumasu,Christmas
コンサート,Konsāto,concert
シンプル,Shinpuru,simple
スケジュール,Sukejūru,schedule
タブレット,Taburetto,tablet
ディナー,Dinā,dinner
ニュース,Nyūsu,news
ネットワーク,Nettowāku,network
バーゲン,Bāgen,bargain
ファッションショー,Fasshon shō,fashion show
マイク,Maiku,microphone
ムービー,Mūbī,movie
リサーチ,Risāchi,research
レストランチェーン,Resutoran chēn,restaurant chain
ワイヤー,Waiyā,wire
アパート,Apāto,apartment
アプリ,Apuri,app
イベント,Ibento,event
ウイルス,Uirusu,virus
オーディション,Ōdishon,audition
カード,Kādo,card
キーワード,Kīwādo,keyword
コース,Kōsu,course
シーズン,Shīzun,season
スタジオ,Sutajio,studio
テント,Tento,tent
ドキュメント,Dokyumento,document
ニューヨーク,Nyū Yōku,New York
ノート,Nōto,notebook
パートナー,Pātonā,partner
パブ,Pabu,pub
ビデオ,Bideo,video
ピアノ,Piano,piano
フォント,Fonto,font
ブロック,Burokku,block
プロモーション,Puromōshon,promotion
マンション,manshon,apartment building
ランドリー,randorii,laundry
レベル,reberu,level
レンズ,renzu,lens
アジア,Ajia,Asia
アドバイス,adobaisu,advice
アマチュア,amachua,amateur
アルバム,arubamu,album
エキサイト,ekisaito,excite
エスカレーター,esukaretaa,escalator
エディター,editaa,editor
オーダー,oodaa,order
カジュアル,kajuaru,casual
カタログ,katarogu,catalog
キャンバス,kyanbasu,canvas
クリニック,kurinikku,clinic
ゲーム,geemu,game
コミュニケーション,komyunikeeshon,communication
サイズ,saizu,size
サイン,sain,sign
シェア,shea,share
シンボル,shinboru,symbol
スケート,sukeeto,skate
セール,seeru,sale
タイプ,taipu,type
テキスト,tekisuto,text
トイレ,toire,toilet
トランプ,toranpu,playing cards
ドル,doru,dollar
ネット,netto,net
ノーマル,noomaru,normal
マスター,masutaa,master
